Metric,Training,Test
TP,77.0,16.0
TN,389.0,92.0
FP,11.0,8.0
FN,138.0,37.0
accuracy,0.7577235772357723,0.7058823529411765
pos_precision,0.875,0.6666666666666666
pos_recall,0.3581395348837209,0.3018867924528302
pos_f1_score,0.5082508250825083,0.41558441558441556
pos_support,215.0,53.0
neg_precision,0.7381404174573055,0.7131782945736435
neg_recall,0.9725,0.92
neg_f1_score,0.8392664509169364,0.8034934497816594
neg_support,400.0,100.0
